Rainfall_mm,Slope_Angle,Soil_Saturation,Vegetation_Cover,Rainfall_3Day,Rainfall_7Day,Aspect,Elevation_m,NDVI_Index,Land_Use_Urban,Land_Use_Forest,Land_Use_Agriculture,Earthquake_Activity,Proximity_to_Water,Distance_to_Road_m,Temperature_C,Humidity_percent,Soil_pH,Clay_Content,Sand_Content,Silt_Content,Soil_Erosion_Rate,Historical_Landslide_Count,Soil_Type_Gravel,Soil_Type_Sand,Soil_Type_Silt,Soil_Type_Clay,Pore_Water_Pressure_kPa,Soil_Moisture_Content,Microseismic_Activity,Acoustic_Emission_dB,Soil_Strain,Soil_Temperature_C,TDR_Reflection_Index,Label
164.6953636,59.78333192,0.821479328,0.107338957,260.1383811,79.29716943,346.6741988,733.7764481,0.191948027,1,1,1,5.390869468,0.84709678,961.8236343,12.88788734,26.23689184,7.102161253,39.93492235,57.74325389,24.56238687,14.79217458,0,1,1,1,0,133.9431941,0.143732154,0.29094466,51.02183423,0.005166524,22.7600364,0.799846538,1
34.9080857,15.15308414,0.100428184,0.960150409,510.2955469,247.9235759,104.4623711,467.7086433,0.798321097,1,0,0,3.55405491,0.077767475,138.9044643,12.86402052,64.19619367,7.912667109,48.78019331,30.28533073,36.97329518,49.10273563,1,0,1,0,1,90.78860812,0.266484492,0.651757787,39.83728237,0.003443066,15.55837338,1.181071281,0
38.76172694,13.13538426,0.286525993,0.833607672,297.7302658,194.3270125,336.6712867,1880.826807,0.479455847,1,0,1,4.532214078,0.157257673,792.3511153,6.523797558,34.22339442,6.463165362,55.13447522,78.7130959,35.81440954,47.17178562,1,1,0,0,1,83.04114994,0.129426057,0.440713566,68.90236586,0.009998896,6.205759639,1.184971095,0
32.19997716,10.67473411,0.255230373,0.847568942,231.64061,295.1395464,300.7428642,964.0803361,-0.084314354,1,1,0,3.069054068,0.203602654,455.791293,16.2440569,38.65421182,6.822878791,54.43126706,52.88551023,35.18606407,29.57339649,1,1,1,1,0,196.0893053,0.240198166,0.79400055,80.19696012,0.003850078,25.48654473,0.677943808,0
218.1140317,48.83926893,0.720071089,0.018382812,330.2782491,301.2888236,155.5505025,165.699102,0.81086862,0,0,0,5.623601232,0.984898046,317.3966186,13.84753797,95.05094106,8.246586268,21.31186345,46.40691109,16.89354422,42.12833339,1,1,0,1,1,106.7788901,0.345723604,0.009160394,99.91978572,0.003061353,7.270318811,0.882641936,1
291.1403214,54.82117331,0.852294829,0.106748276,202.5405773,111.8006031,20.55477836,1342.933344,0.442588883,0,1,1,4.253726979,0.972673475,7.600341417,14.93821909,31.04505187,7.062889846,36.32430804,37.576975,56.32253835,46.42628198,1,0,0,0,0,178.0545561,0.478377013,0.12576433,39.03002307,0.00848874,18.90639794,0.816688069,1
28.51434694,6.06307551,0.184704818,0.763145185,35.38021616,143.5542762,57.63017782,2375.886669,0.042453203,0,1,1,5.794602985,0.312825539,241.4846542,11.55374895,73.10231304,4.869243552,42.53479354,39.56679869,10.74074506,47.14232128,1,1,1,0,0,73.88496534,0.329985752,0.254747566,59.36768452,0.005422752,20.71632703,0.513411378,0
23.84194389,12.44329219,0.2548343,0.838824808,142.3158542,974.3690706,267.9816134,2382.309158,0.473263395,0,0,0,3.884179841,0.125618937,638.3431937,28.84301489,72.60519914,7.2172711,16.29444782,24.61044533,53.42450231,21.54383905,2,0,1,1,0,138.3644783,0.488978417,0.664186242,65.21240121,0.008677417,26.38724968,0.507028567,0
10.91269439,17.05540178,0.162208341,0.783738549,364.1998156,505.5445869,150.417437,543.4929392,0.550203914,1,1,0,3.778060273,0.344237688,850.5118229,11.05399552,50.97885216,7.564052446,50.39703636,32.90018498,17.70491529,31.48491235,1,0,0,0,1,94.00254287,0.495904382,0.671344016,91.84968659,0.005613158,18.81773313,0.577314175,0
271.2906378,50.1481523,0.8315213,0.278157862,431.3470882,947.1977027,269.9329818,1082.264356,0.141564188,0,0,1,5.382204984,0.118856857,516.416814,35.11021058,61.79731238,6.016444364,28.5368839,77.91630457,25.98377862,17.11814962,1,1,0,0,1,32.30968949,0.165302975,0.445915938,56.43006694,0.001590875,16.61239841,0.616615188,1
